source,frame,sub,field,index,expected
ALGTHM,0,0,postfilter_inverse_low_q0,0,1
ALGTHM,0,0,postfilter_inverse_high_q0,0,1
ALGTHM,0,0,postfilter_inverse_low_q0,1,2
ALGTHM,0,0,postfilter_inverse_high_q0,1,2
ALGTHM,0,0,postfilter_inverse_low_q0,2,1
ALGTHM,0,0,postfilter_inverse_high_q0,2,2
ALGTHM,0,0,postfilter_inverse_low_q0,3,1
ALGTHM,0,0,postfilter_inverse_high_q0,3,2
ALGTHM,0,0,postfilter_inverse_low_q0,4,0
ALGTHM,0,0,postfilter_inverse_high_q0,4,2
ALGTHM,0,0,postfilter_inverse_low_q0,5,-1
ALGTHM,0,0,postfilter_inverse_high_q0,5,1
ALGTHM,0,0,postfilter_inverse_low_q0,6,-1
ALGTHM,0,0,postfilter_inverse_high_q0,6,1
ALGTHM,0,0,postfilter_inverse_low_q0,7,-1
ALGTHM,0,0,postfilter_inverse_high_q0,7,1
ALGTHM,0,0,postfilter_inverse_low_q0,8,-1
ALGTHM,0,0,postfilter_inverse_high_q0,8,1
ALGTHM,0,0,postfilter_inverse_low_q0,9,-1
ALGTHM,0,0,postfilter_inverse_high_q0,9,1
ALGTHM,0,0,postfilter_inverse_low_q0,10,-1
ALGTHM,0,0,postfilter_inverse_high_q0,10,1
ALGTHM,0,0,postfilter_inverse_low_q0,11,-1
ALGTHM,0,0,postfilter_inverse_high_q0,11,1
ALGTHM,0,0,postfilter_inverse_low_q0,12,-1
ALGTHM,0,0,postfilter_inverse_high_q0,12,1
ALGTHM,0,0,postfilter_inverse_low_q0,13,-1
ALGTHM,0,0,postfilter_inverse_high_q0,13,1
ALGTHM,0,0,postfilter_inverse_low_q0,14,-1
ALGTHM,0,0,postfilter_inverse_high_q0,14,1
ALGTHM,0,0,postfilter_inverse_low_q0,15,-1
ALGTHM,0,0,postfilter_inverse_high_q0,15,1
ALGTHM,0,0,postfilter_inverse_low_q0,16,-2
ALGTHM,0,0,postfilter_inverse_high_q0,16,1
ALGTHM,0,0,postfilter_inverse_low_q0,17,-2
ALGTHM,0,0,postfilter_inverse_high_q0,17,1
ALGTHM,0,0,postfilter_inverse_low_q0,18,-2
ALGTHM,0,0,postfilter_inverse_high_q0,18,1
ALGTHM,0,0,postfilter_inverse_low_q0,19,-2
ALGTHM,0,0,postfilter_inverse_high_q0,19,1
ALGTHM,0,0,postfilter_inverse_low_q0,20,-2
ALGTHM,0,0,postfilter_inverse_high_q0,20,1
ALGTHM,0,0,postfilter_inverse_low_q0,21,-2
ALGTHM,0,0,postfilter_inverse_high_q0,21,1
ALGTHM,0,0,postfilter_inverse_low_q0,22,-1
ALGTHM,0,0,postfilter_inverse_high_q0,22,1
ALGTHM,0,0,postfilter_inverse_low_q0,23,-1
ALGTHM,0,0,postfilter_inverse_high_q0,23,1
ALGTHM,0,0,postfilter_inverse_low_q0,24,-1
ALGTHM,0,0,postfilter_inverse_high_q0,24,1
ALGTHM,0,0,postfilter_inverse_low_q0,25,-1
ALGTHM,0,0,postfilter_inverse_high_q0,25,1
ALGTHM,0,0,postfilter_inverse_low_q0,26,-1
ALGTHM,0,0,postfilter_inverse_high_q0,26,1
ALGTHM,0,0,postfilter_inverse_low_q0,27,-1
ALGTHM,0,0,postfilter_inverse_high_q0,27,1
ALGTHM,0,0,postfilter_inverse_low_q0,28,-1
ALGTHM,0,0,postfilter_inverse_high_q0,28,1
ALGTHM,0,0,postfilter_inverse_low_q0,29,-1
ALGTHM,0,0,postfilter_inverse_high_q0,29,1
ALGTHM,0,0,postfilter_inverse_low_q0,30,-1
ALGTHM,0,0,postfilter_inverse_high_q0,30,1
ALGTHM,0,0,postfilter_inverse_low_q0,31,-1
ALGTHM,0,0,postfilter_inverse_high_q0,31,1
ALGTHM,0,0,postfilter_inverse_low_q0,32,-1
ALGTHM,0,0,postfilter_inverse_high_q0,32,1
ALGTHM,0,0,postfilter_inverse_low_q0,33,-1
ALGTHM,0,0,postfilter_inverse_high_q0,33,1
ALGTHM,0,0,postfilter_inverse_low_q0,34,-1
ALGTHM,0,0,postfilter_inverse_high_q0,34,1
ALGTHM,0,0,postfilter_inverse_low_q0,35,-1
ALGTHM,0,0,postfilter_inverse_high_q0,35,1
ALGTHM,0,0,postfilter_inverse_low_q0,36,-1
ALGTHM,0,0,postfilter_inverse_high_q0,36,1
ALGTHM,0,0,postfilter_inverse_low_q0,37,-1
ALGTHM,0,0,postfilter_inverse_high_q0,37,1
ALGTHM,0,0,postfilter_inverse_low_q0,38,-1
ALGTHM,0,0,postfilter_inverse_high_q0,38,1
ALGTHM,0,0,postfilter_inverse_low_q0,39,-1
ALGTHM,0,0,postfilter_inverse_high_q0,39,1
ALGTHM,0,1,postfilter_inverse_low_q0,0,-1
ALGTHM,0,1,postfilter_inverse_high_q0,0,1
ALGTHM,0,1,postfilter_inverse_low_q0,1,-1
ALGTHM,0,1,postfilter_inverse_high_q0,1,1
ALGTHM,0,1,postfilter_inverse_low_q0,2,-1
ALGTHM,0,1,postfilter_inverse_high_q0,2,1
ALGTHM,0,1,postfilter_inverse_low_q0,3,-1
ALGTHM,0,1,postfilter_inverse_high_q0,3,1
ALGTHM,0,1,postfilter_inverse_low_q0,4,-1
ALGTHM,0,1,postfilter_inverse_high_q0,4,1
ALGTHM,0,1,postfilter_inverse_low_q0,5,-1
ALGTHM,0,1,postfilter_inverse_high_q0,5,1
ALGTHM,0,1,postfilter_inverse_low_q0,6,-1
ALGTHM,0,1,postfilter_inverse_high_q0,6,1
ALGTHM,0,1,postfilter_inverse_low_q0,7,-1
ALGTHM,0,1,postfilter_inverse_high_q0,7,1
ALGTHM,0,1,postfilter_inverse_low_q0,8,-1
ALGTHM,0,1,postfilter_inverse_high_q0,8,1
ALGTHM,0,1,postfilter_inverse_low_q0,9,-1
ALGTHM,0,1,postfilter_inverse_high_q0,9,1
ALGTHM,0,1,postfilter_inverse_low_q0,10,-1
ALGTHM,0,1,postfilter_inverse_high_q0,10,1
ALGTHM,0,1,postfilter_inverse_low_q0,11,-1
ALGTHM,0,1,postfilter_inverse_high_q0,11,1
ALGTHM,0,1,postfilter_inverse_low_q0,12,-1
ALGTHM,0,1,postfilter_inverse_high_q0,12,1
ALGTHM,0,1,postfilter_inverse_low_q0,13,-1
ALGTHM,0,1,postfilter_inverse_high_q0,13,1
ALGTHM,0,1,postfilter_inverse_low_q0,14,-1
ALGTHM,0,1,postfilter_inverse_high_q0,14,1
ALGTHM,0,1,postfilter_inverse_low_q0,15,-1
